flops 4.1 GMac params 30.79 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 83 lr 0.0008502621676204664 loss 0.00036577860679710283 acc 0.9857
epoch 84 lr 0.0008133304392411267 loss 0.0003474999770382419 acc 0.9859
epoch 85 lr 0.0007783099699013069 loss 0.0003590299014514312 acc 0.9854
epoch 86 lr 0.0007452353205761725 loss 0.0003593557374854572 acc 0.9861
epoch 87 lr 0.0007141391319514562 loss 0.0003509122498310171 acc 0.986
epoch 88 lr 0.0006850520922110426 loss 0.00032410029370337723 acc 0.9855
epoch 89 lr 0.0006580029067514342 loss 0.0003391676592966542 acc 0.9855
epoch 90 lr 0.0006330182698529923 loss 0.0003461553638381884 acc 0.9859
epoch 91 lr 0.0006101228383359042 loss 0.0003410290183103643 acc 0.9857
epoch 92 lr 0.0005893392072268783 loss 0.00034921894827159123 acc 0.9856
epoch 93 lr 0.0005706878874605798 loss 0.00033112524506868793 acc 0.9855
epoch 94 lr 0.0005541872856378182 loss 0.000337912233620882 acc 0.9852
